year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2044,ssp370,15005,Kalawao,,1410.225341796875,10,3.863631010055542,66.4261703491211,7.957623481750488,159,206,19.198131561279297,34.267398834228516
2045,ssp370,15005,Kalawao,,1188.477783203125,8,3.256103515625,43.79948425292969,6.595792293548584,152,213,18.03191375732422,27.616519927978516
2046,ssp370,15005,Kalawao,,1791.559326171875,15,4.908381938934326,83.13302612304688,9.647821426391602,137,228,24.277013778686523,42.15903091430664
2047,ssp370,15005,Kalawao,,923.33642578125,2,2.529688835144043,40.446292877197266,5.135668754577637,171,194,11.448617935180664,22.920963287353516
2048,ssp370,15005,Kalawao,,2124.091796875,21,5.819429397583008,40.514015197753906,8.366776466369629,116,249,25.959972381591797,32.317115783691406
2049,ssp370,15005,Kalawao,,1046.271240234375,3,2.8664965629577637,34.910430908203125,5.4489054679870605,171,194,15.11303997039795,24.93496322631836
2050,ssp370,15005,Kalawao,,1124.65576171875,7,3.0812487602233887,34.45037078857422,5.511487007141113,121,244,12.377786636352539,30.666812896728516
2051,ssp370,15005,Kalawao,,2525.149658203125,18,6.91821813583374,62.231689453125,9.705119132995605,89,276,25.35259246826172,40.30026626586914
2052,ssp370,15005,Kalawao,,1682.392822265625,11,4.60929536819458,41.45751953125,7.512337684631348,130,235,22.347759246826172,31.299636840820312
2053,ssp370,15005,Kalawao,,2562.9423828125,28,7.021759986877441,95.17161560058594,11.23058032989502,125,240,29.990407943725586,48.31268310546875
2054,ssp370,15005,Kalawao,,927.0457153320312,6,2.539851188659668,33.38523864746094,5.218087673187256,173,192,12.519279479980469,27.393056869506836
2055,ssp370,15005,Kalawao,,2577.68701171875,26,7.0621562004089355,51.17584228515625,9.522276878356934,88,277,28.23520278930664,37.764976501464844
2056,ssp370,15005,Kalawao,,1180.963623046875,8,3.2355167865753174,64.61598205566406,7.6277289390563965,186,179,15.570672035217285,38.856956481933594
2057,ssp370,15005,Kalawao,,1059.850341796875,1,2.9036996364593506,26.713459014892578,4.461595058441162,118,247,12.379152297973633,18.735429763793945
2058,ssp370,15005,Kalawao,,864.1156005859375,4,2.3674399852752686,31.285869598388672,4.762206077575684,164,201,10.498250007629395,25.7868595123291
2059,ssp370,15005,Kalawao,,1205.461181640625,9,3.302633285522461,45.15581512451172,7.075414180755615,142,223,16.51871681213379,38.630306243896484
2060,ssp370,15005,Kalawao,,1363.541259765625,9,3.735729455947876,65.93709564208984,7.307663440704346,158,207,19.495269775390625,27.318490982055664
2061,ssp370,15005,Kalawao,,2097.109375,20,5.745505332946777,49.152671813964844,8.942354202270508,114,251,25.91534423828125,35.16917419433594
2062,ssp370,15005,Kalawao,,807.8433837890625,4,2.2132694721221924,61.878868103027344,6.151707649230957,188,177,10.054434776306152,28.64916229248047
2063,ssp370,15005,Kalawao,,1915.1436767578125,17,5.246968746185303,69.04244995117188,9.91982364654541,119,246,23.718719482421875,49.201820373535156
2064,ssp370,15005,Kalawao,,1440.665283203125,8,3.947028160095215,41.46906280517578,6.768265247344971,144,221,18.141407012939453,29.000633239746094
2065,ssp370,15005,Kalawao,,1325.9927978515625,9,3.632857084274292,52.818931579589844,7.5594048500061035,166,199,19.583717346191406,35.97734832763672
2066,ssp370,15005,Kalawao,,828.3857421875,4,2.269550085067749,44.22943115234375,4.891295909881592,177,188,11.999850273132324,25.27385902404785
2067,ssp370,15005,Kalawao,,1187.3482666015625,7,3.2530088424682617,54.56034851074219,6.762322425842285,198,167,17.370319366455078,29.699623107910156
2068,ssp370,15005,Kalawao,,1714.6610107421875,16,4.697701454162598,52.68016815185547,8.086946487426758,136,229,22.14351463317871,36.79810333251953
2069,ssp370,15005,Kalawao,,1489.87451171875,10,4.08184814453125,42.08271408081055,7.059237957000732,138,227,19.961641311645508,33.18972396850586
2070,ssp370,15005,Kalawao,,1099.2994384765625,7,3.011779308319092,54.66455078125,6.570044994354248,151,214,15.332374572753906,32.17367172241211
2071,ssp370,15005,Kalawao,,2300.9873046875,19,6.304074764251709,70.88095092773438,10.205869674682617,112,253,25.32242774963379,45.809608459472656
2072,ssp370,15005,Kalawao,,890.3690185546875,3,2.4393670558929443,38.69378662109375,5.007824897766113,171,194,12.820408821105957,23.08024024963379
2073,ssp370,15005,Kalawao,,1732.6533203125,11,4.746995449066162,73.65263366699219,8.492806434631348,112,253,20.022953033447266,36.93795394897461
2074,ssp370,15005,Kalawao,,1829.7388916015625,13,5.012983322143555,41.81359100341797,7.898494720458984,124,241,21.664939880371094,33.585411071777344
2075,ssp370,15005,Kalawao,,1595.71630859375,8,4.371825695037842,40.379791259765625,6.532188415527344,111,254,19.84062385559082,27.157114028930664
2076,ssp370,15005,Kalawao,,1140.6002197265625,3,3.124932050704956,38.755638122558594,5.310256004333496,142,223,13.177745819091797,22.804489135742188
2077,ssp370,15005,Kalawao,,1980.65966796875,21,5.426465034484863,44.725318908691406,8.902103424072266,128,237,27.413352966308594,39.7360725402832
2078,ssp370,15005,Kalawao,,1881.01318359375,13,5.15346097946167,52.13551330566406,8.697139739990234,156,209,21.959964752197266,42.8567008972168
2079,ssp370,15005,Kalawao,,1119.2774658203125,11,3.0665135383605957,54.24889373779297,7.029297828674316,179,186,16.550254821777344,32.20489501953125
2080,ssp370,15005,Kalawao,,1191.2562255859375,13,3.2637157440185547,57.564048767089844,7.424631118774414,151,214,17.077512741088867,35.32925796508789
2081,ssp370,15005,Kalawao,,1264.9755859375,3,3.465686559677124,42.01380157470703,5.8228607177734375,147,218,15.024978637695312,22.931915283203125
2082,ssp370,15005,Kalawao,,3052.2451171875,38,8.36231517791748,58.97956848144531,11.386595726013184,86,279,33.722591400146484,45.833553314208984
2083,ssp370,15005,Kalawao,,2384.9501953125,21,6.534110069274902,79.76170349121094,10.053677558898926,107,258,28.24015235900879,44.10346984863281
2084,ssp370,15005,Kalawao,,935.5682983398438,0,2.5632007122039795,21.992162704467773,3.9660394191741943,118,247,11.43018913269043,16.407419204711914
2085,ssp370,15005,Kalawao,,916.3389892578125,3,2.5105178356170654,40.634891510009766,5.254745006561279,198,167,14.37758731842041,21.50159454345703
2086,ssp370,15005,Kalawao,,1438.697265625,8,3.941636323928833,38.01314926147461,6.446683406829834,124,241,17.65325355529785,28.422386169433594
2087,ssp370,15005,Kalawao,,2460.105712890625,24,6.740015506744385,49.26312255859375,9.843253135681152,104,261,27.650588989257812,40.34623336791992
2088,ssp370,15005,Kalawao,,1072.61328125,3,2.938666582107544,36.78956604003906,5.194408893585205,148,217,13.604256629943848,23.406431198120117
2089,ssp370,15005,Kalawao,,1261.79150390625,7,3.456963062286377,49.63009262084961,6.910548686981201,160,205,16.29206657409668,34.53398513793945
2090,ssp370,15005,Kalawao,,2190.1572265625,22,6.000430583953857,86.98138427734375,11.110167503356934,121,244,26.915441513061523,48.30472946166992
2091,ssp370,15005,Kalawao,,3482.166259765625,33,9.540181159973145,77.17868041992188,12.329853057861328,77,288,31.984294891357422,59.7299690246582
2092,ssp370,15005,Kalawao,,1489.3804931640625,5,4.080494403839111,33.34559631347656,6.210494518280029,118,247,18.472305297851562,25.470003128051758
2093,ssp370,15005,Kalawao,,1095.56982421875,7,3.001561164855957,30.407493591308594,5.4075541496276855,133,232,13.298916816711426,27.4194278717041
2094,ssp370,15005,Kalawao,,1484.8558349609375,18,4.068098068237305,71.94621276855469,9.37415599822998,182,183,24.938045501708984,40.917388916015625
2095,ssp370,15005,Kalawao,,3252.290283203125,50,8.910384178161621,76.83447265625,13.080297470092773,98,267,34.9140625,55.49949645996094
2096,ssp370,15005,Kalawao,,1407.3099365234375,15,3.8556437492370605,61.21642303466797,8.006994247436523,167,198,21.401325225830078,34.81687927246094
2097,ssp370,15005,Kalawao,,941.46435546875,4,2.5793542861938477,29.50625228881836,5.0431928634643555,170,195,14.249231338500977,22.92428970336914
2098,ssp370,15005,Kalawao,,1108.5440673828125,6,3.037106990814209,66.90937042236328,7.0668182373046875,198,167,15.955451965332031,33.143882751464844
2099,ssp370,15005,Kalawao,,2072.6884765625,16,5.678598403930664,68.29067993164062,9.169489860534668,123,242,25.176692962646484,36.694122314453125
2100,ssp370,15005,Kalawao,,1016.0352783203125,0,2.783658266067505,24.921611785888672,3.8864798545837402,94,271,10.676726341247559,17.403112411499023
2015,ssp370,15007,Kauai,,1189.49755859375,9,3.258897304534912,34.79189682006836,6.510224342346191,164,201,18.361682891845703,28.70439338684082
2016,ssp370,15007,Kauai,,1301.66845703125,14,3.5662150382995605,42.57929992675781,7.905177116394043,190,175,23.065109252929688,38.292964935302734
2017,ssp370,15007,Kauai,,1736.7847900390625,14,4.758314609527588,61.45641326904297,9.409666061401367,157,208,24.30290412902832,45.2906379699707
2018,ssp370,15007,Kauai,,1633.112060546875,14,4.474279403686523,59.53500747680664,9.083086013793945,164,201,22.4785213470459,45.78805923461914
2019,ssp370,15007,Kauai,,782.05908203125,2,2.142627716064453,41.870323181152344,4.9652323722839355,190,175,13.83967399597168,23.132600784301758
2020,ssp370,15007,Kauai,,1710.2164306640625,15,4.6855244636535645,46.00914001464844,8.530418395996094,174,191,23.078514099121094,36.68730926513672
2021,ssp370,15007,Kauai,,1616.7420654296875,15,4.4294304847717285,86.27112579345703,9.630351066589355,169,196,18.767362594604492,43.972564697265625
2022,ssp370,15007,Kauai,,1208.1640625,6,3.3100385665893555,62.21788024902344,6.8929853439331055,150,215,17.81477928161621,27.109874725341797
2023,ssp370,15007,Kauai,,1146.1768798828125,13,3.1402106285095215,43.19041061401367,6.927939414978027,164,201,17.944965362548828,33.314056396484375
2024,ssp370,15007,Kauai,,826.4837646484375,4,2.264338970184326,30.312355041503906,4.71719217300415,170,195,11.618882179260254,25.264373779296875
2025,ssp370,15007,Kauai,,1584.054443359375,17,4.339875221252441,46.72071075439453,8.909003257751465,171,194,23.50065040588379,41.39885711669922
