cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
69100,2049,Rota,4,,,,49.28567721149115
69100,2050,Rota,1,,,,44.94165615772638
69100,2051,Rota,23,,,,130.18372062623033
69100,2052,Rota,18,,,,135.88549996924215
69100,2053,Rota,4,,,,86.51414285494587
69100,2054,Rota,4,,,,60.59776486374262
69100,2055,Rota,9,,,,102.18945120263288
69100,2056,Rota,6,,,,69.49810358483022
69100,2057,Rota,8,,,,98.69926873154527
69100,2058,Rota,0,,,,44.95745320958416
69100,2059,Rota,6,,,,89.99621293676182
69100,2060,Rota,9,,,,96.43160602239172
69100,2061,Rota,10,,,,87.8821089136319
69100,2062,Rota,5,,,,43.92361858698327
69100,2063,Rota,5,,,,93.1404173843504
69100,2064,Rota,8,,,,117.13107852485236
69100,2065,Rota,1,,,,60.68192609651821
69100,2066,Rota,2,,,,34.63595893439346
69100,2067,Rota,6,,,,65.19578347994587
69100,2068,Rota,17,,,,136.4888060562254
69100,2069,Rota,16,,,,92.20534917876476
69100,2070,Rota,5,,,,79.77981206938976
69100,2071,Rota,17,,,,115.5620040292815
69100,2072,Rota,5,,,,51.098291592335144
69100,2073,Rota,6,,,,88.59438438115158
69100,2074,Rota,8,,,,103.15737266240158
69100,2075,Rota,12,,,,98.4434689499262
69100,2076,Rota,0,,,,41.48374061884843
69100,2077,Rota,4,,,,104.54193836122047
69100,2078,Rota,21,,,,121.36327548289864
69100,2079,Rota,14,,,,100.3809170460138
69100,2080,Rota,8,,,,49.26521361343504
69100,2081,Rota,7,,,,78.93945889210138
69100,2082,Rota,20,,,,122.13849886195868
69100,2083,Rota,8,,,,69.57044706569883
69100,2084,Rota,1,,,,44.39544437438485
69100,2085,Rota,0,,,,61.8045836921752
69100,2086,Rota,13,,,,111.12624761626476
69100,2087,Rota,20,,,,115.71563960999016
69100,2088,Rota,15,,,,92.24476731668308
69100,2089,Rota,0,,,,54.37666284756398
69100,2090,Rota,15,,,,140.20184854822836
69100,2091,Rota,11,,,,85.60895784633367
69100,2092,Rota,4,,,,46.02254552165355
69100,2093,Rota,0,,,,32.6781890148253
69100,2094,Rota,1,,,,78.68236631859007
69100,2095,Rota,18,,,,132.3626660925197
69100,2096,Rota,17,,,,98.04648091473918
69100,2097,Rota,7,,,,61.25224916953741
69100,2098,Rota,5,,,,71.22698926550197
69100,2099,Rota,24,,,,123.9081146961122
69100,2100,Rota,5,,,,46.90044252891241
69120,2015,Tinian,82,,,,205.2525221456693
69120,2016,Tinian,67,,,,173.3919783464567
69120,2017,Tinian,40,,,,107.06046998031496
