year,scenario,county_id,county_name,state,total_annual_precip_mm,days_above_threshold,mean_daily_precip_mm,max_daily_precip_mm,precip_std_mm,dry_days,wet_days,precip_percentile_95,precip_percentile_99
2063,ssp370,66010,Guam,,7615.1240234375,135,20.863353729248047,124.6294174194336,19.504016876220703,54,311,56.47526931762695,77.17230987548828
2064,ssp370,66010,Guam,,9599.0791015625,172,26.298847198486328,184.2113800048828,24.81696128845215,38,327,65.24923706054688,100.75022888183594
2065,ssp370,66010,Guam,,5473.0458984375,83,14.994646072387695,92.71324157714844,17.89864158630371,67,298,49.728729248046875,80.22029876708984
2066,ssp370,66010,Guam,,3102.16455078125,40,8.499080657958984,111.80659484863281,14.976719856262207,132,233,36.578433990478516,69.90739440917969
2067,ssp370,66010,Guam,,5784.4765625,81,15.847881317138672,242.9507598876953,22.623626708984375,76,289,48.39234161376953,90.96614074707031
2068,ssp370,66010,Guam,,11098.05078125,194,30.40561866760254,136.46908569335938,23.214855194091797,13,352,75.75475311279297,99.24398040771484
2069,ssp370,66010,Guam,,7765.13037109375,114,21.274330139160156,158.67201232910156,27.22921371459961,70,295,78.71559143066406,116.71062469482422
2070,ssp370,66010,Guam,,7027.78466796875,123,19.25420379638672,198.50054931640625,22.683971405029297,46,319,58.16164016723633,98.18838500976562
2071,ssp370,66010,Guam,,9578.0986328125,152,26.241365432739258,151.30352783203125,26.466650009155273,30,335,76.55549621582031,125.0826416015625
2072,ssp370,66010,Guam,,4682.21484375,62,12.827985763549805,116.54096984863281,18.972789764404297,82,283,53.27035140991211,78.97298431396484
2073,ssp370,66010,Guam,,7764.8505859375,130,21.273563385009766,186.88153076171875,22.597684860229492,50,315,62.229095458984375,87.57526397705078
2074,ssp370,66010,Guam,,8725.544921875,148,23.905603408813477,156.47659301757812,21.970409393310547,24,341,66.0331039428711,95.66805267333984
2075,ssp370,66010,Guam,,8569.921875,139,23.479238510131836,225.19137573242188,26.54903221130371,44,321,73.56732177734375,99.03091430664062
2076,ssp370,66010,Guam,,3944.74560546875,53,10.80752182006836,82.30587768554688,13.62117862701416,73,292,37.212135314941406,52.22339630126953
2077,ssp370,66010,Guam,,8565.2294921875,154,23.46638298034668,181.48829650878906,20.355031967163086,37,328,54.75423812866211,83.07403564453125
2078,ssp370,66010,Guam,,9719.2841796875,164,26.628175735473633,188.06295776367188,25.815305709838867,26,339,77.5891342163086,118.88798522949219
2079,ssp370,66010,Guam,,8906.787109375,138,24.402156829833984,187.9166259765625,25.5312557220459,30,335,73.9144515991211,107.58702850341797
2080,ssp370,66010,Guam,,4144.67431640625,41,11.35527229309082,159.1644287109375,20.875394821166992,54,311,50.23112869262695,105.36821746826172
2081,ssp370,66010,Guam,,6689.572265625,103,18.327594757080078,250.04115295410156,23.540067672729492,85,280,56.1242790222168,88.15203857421875
