year,scenario,county_id,county_name,state,mean_annual_temp_c,min_temp_c,max_temp_c,temp_range_c,temp_std_c,days_below_freezing,days_above_30c,growing_degree_days,cooling_degree_days,heating_degree_days
2037,historical,15005,Kalawao,,24.18798065185547,20.244247436523438,26.3480224609375,6.1037750244140625,1.3128830194473267,0,0,5178.61279296875,2258.612548828125,0.0
2038,historical,15005,Kalawao,,23.76271629333496,19.78216552734375,26.374542236328125,6.592376708984375,1.3193625211715698,0,0,5023.3916015625,2103.39111328125,0.0
2039,historical,15005,Kalawao,,23.15581703186035,18.943466186523438,25.524734497070312,6.581268310546875,1.228506326675415,0,0,4801.873046875,1881.873291015625,0.0
2040,historical,15005,Kalawao,,24.23021697998047,18.640182495117188,26.631134033203125,7.9909515380859375,1.7564083337783813,0,0,5194.0283203125,2274.0283203125,0.0
2041,historical,15005,Kalawao,,25.46727752685547,21.92706298828125,28.2674560546875,6.34039306640625,1.5319409370422363,0,0,5645.556640625,2725.556640625,0.0
2042,historical,15005,Kalawao,,24.769718170166016,21.136215209960938,27.978973388671875,6.8427581787109375,1.6453464031219482,0,0,5390.9462890625,2470.9462890625,0.0
2043,historical,15005,Kalawao,,24.683931350708008,20.163726806640625,27.35333251953125,7.189605712890625,1.7422107458114624,0,0,5359.63525390625,2439.63525390625,0.0
2044,historical,15005,Kalawao,,24.94693374633789,21.005157470703125,27.176406860351562,6.1712493896484375,1.1493231058120728,0,0,5455.630859375,2535.630859375,0.0
2045,historical,15005,Kalawao,,24.796072006225586,21.607589721679688,26.82525634765625,5.2176666259765625,1.1351505517959595,0,0,5400.56591796875,2480.56591796875,0.0
2046,historical,15005,Kalawao,,24.61525535583496,21.019393920898438,27.230300903320312,6.210906982421875,1.3838787078857422,0,0,5334.5693359375,2414.56884765625,0.0
2047,historical,15005,Kalawao,,25.072345733642578,20.367996215820312,28.02569580078125,7.6576995849609375,1.732238531112671,0,0,5501.40625,2581.40625,0.0
2048,historical,15005,Kalawao,,25.686349868774414,22.051925659179688,28.512435913085938,6.46051025390625,1.6192764043807983,0,0,5725.51708984375,2805.51708984375,0.0
2049,historical,15005,Kalawao,,25.4335880279541,21.6915283203125,30.209075927734375,8.517547607421875,1.834562063217163,0,2,5633.26025390625,2713.26025390625,0.0
2050,historical,15005,Kalawao,,25.35883903503418,19.764999389648438,28.067428588867188,8.30242919921875,1.9808149337768555,0,0,5605.97607421875,2685.9755859375,0.0
2051,historical,15005,Kalawao,,26.68429183959961,22.30438232421875,28.750823974609375,6.446441650390625,1.3228249549865723,0,0,6089.7666015625,3169.76611328125,0.0
2052,historical,15005,Kalawao,,25.821430206298828,21.705596923828125,27.973098754882812,6.2675018310546875,1.3208645582199097,0,0,5774.8232421875,2854.8232421875,0.0
2053,historical,15005,Kalawao,,25.95765495300293,20.810989379882812,29.720565795898438,8.909576416015625,2.1620073318481445,0,0,5824.54443359375,2904.54443359375,0.0
2054,historical,15005,Kalawao,,25.574668884277344,21.724456787109375,28.469940185546875,6.7454833984375,1.6779963970184326,0,0,5684.75439453125,2764.754638671875,0.0
