cid2,year,name,daysabove1in,daysabove90F,tmaxavg,annual_mean_temp,annual_total_precip
72043,2024,Coamo,13,,,,90.7571242925689
72113,2024,Ponce,13,,,,88.73822550135336
78010,2024,St. Croix,15,,,,89.37186654158465
78020,2024,St. John,7,,,,79.30615042138288
72057,2024,Guayama,13,,,,88.42855138102856
72035,2024,Cayey,16,,,,94.59872508612206
72125,2024,San Germán,5,,,,79.45123146838091
72079,2024,Lajas,11,,,,87.17046782726378
72059,2024,Guayanilla,7,,,,84.07301534817914
78030,2025,St. Thomas,7,,,,72.76218204047737
72151,2025,Yabucoa,12,,,,88.69330939345473
72133,2025,Santa Isabel,5,,,,75.93133400744341
72043,2025,Coamo,5,,,,80.24397722379429
72113,2025,Ponce,7,,,,77.83218023345226
78010,2025,St. Croix,8,,,,81.07408418430119
78020,2025,St. John,5,,,,69.63714359313485
72057,2025,Guayama,6,,,,78.31668883796752
72035,2025,Cayey,7,,,,84.09271961122047
72125,2025,San Germán,2,,,,68.66553118848425
72079,2025,Lajas,5,,,,72.92145976870079
72059,2025,Guayanilla,4,,,,73.46185158556841
78030,2026,St. Thomas,11,,,,60.33265121339814
72151,2026,Yabucoa,14,,,,73.09157003567914
72133,2026,Santa Isabel,5,,,,63.341967965674215
72043,2026,Coamo,7,,,,66.15241103284941
72113,2026,Ponce,5,,,,64.96560404619834
78010,2026,St. Croix,14,,,,67.08232729453741
78020,2026,St. John,7,,,,57.55577748216044
72057,2026,Guayama,7,,,,64.98072826956201
72035,2026,Cayey,8,,,,69.18434924028051
72125,2026,San Germán,1,,,,56.776618056409944
72079,2026,Lajas,2,,,,61.743644654281496
72059,2026,Guayanilla,3,,,,60.77972652405266
78030,2027,St. Thomas,16,,,,90.11472687007874
72151,2027,Yabucoa,22,,,,106.18175596702757
72133,2027,Santa Isabel,10,,,,89.27317221333662
72043,2027,Coamo,14,,,,94.32424950787401
72113,2027,Ponce,9,,,,91.00111112819883
78010,2027,St. Croix,19,,,,99.58307701771655
78020,2027,St. John,13,,,,86.99753168061024
72057,2027,Guayama,15,,,,92.66962006336122
72035,2027,Cayey,18,,,,99.68963382750985
72125,2027,San Germán,4,,,,78.60353484867126
72079,2027,Lajas,7,,,,84.35216227854332
72059,2027,Guayanilla,6,,,,84.90145946112206
78030,2028,St. Thomas,2,,,,66.10680767870325
72151,2028,Yabucoa,5,,,,81.5435454601378
72133,2028,Santa Isabel,0,,,,70.91490738035188
72043,2028,Coamo,2,,,,74.67027078463337
72113,2028,Ponce,1,,,,72.6613875261442
78010,2028,St. Croix,4,,,,72.08224078801673
78020,2028,St. John,2,,,,63.35256982037402
72057,2028,Guayama,1,,,,72.66233429195374
72035,2028,Cayey,3,,,,77.80650702048474
72125,2028,San Germán,1,,,,65.07707250399852
72079,2028,Lajas,2,,,,68.66970272514764
72059,2028,Guayanilla,1,,,,69.0497114526944
78030,2029,St. Thomas,16,,,,90.35951148806595
72151,2029,Yabucoa,24,,,,107.70492433562993
72133,2029,Santa Isabel,12,,,,90.48180287278544
72043,2029,Coamo,15,,,,97.11816021776575
72113,2029,Ponce,10,,,,92.26735513041339
78010,2029,St. Croix,21,,,,93.541259765625
78020,2029,St. John,15,,,,86.31307286540356
72057,2029,Guayama,13,,,,93.66424320250985
72035,2029,Cayey,18,,,,102.12471548966536
72125,2029,San Germán,5,,,,82.0217727300689
72079,2029,Lajas,4,,,,84.60483821358268
72059,2029,Guayanilla,7,,,,87.77570589320867
78030,2030,St. Thomas,17,,,,92.38371601254921
72151,2030,Yabucoa,22,,,,111.55296505905513
72133,2030,Santa Isabel,10,,,,96.36190099040356
72043,2030,Coamo,14,,,,102.03855499507874
72113,2030,Ponce,12,,,,99.77550596702757
78010,2030,St. Croix,21,,,,101.40263594980316
78020,2030,St. John,16,,,,89.20961875615158
72057,2030,Guayama,12,,,,98.59494186761812
72035,2030,Cayey,17,,,,106.22610497662401
72125,2030,San Germán,7,,,,89.21242541215551
72079,2030,Lajas,11,,,,96.11508827509843
72059,2030,Guayanilla,9,,,,94.74267193651575
78030,2031,St. Thomas,6,,,,72.23662128598671
72151,2031,Yabucoa,10,,,,85.68822665477363
72133,2031,Santa Isabel,1,,,,74.35640590397392
72043,2031,Coamo,1,,,,76.64153331846703
72113,2031,Ponce,0,,,,73.99204524483268
78010,2031,St. Croix,11,,,,84.76003091166339
78020,2031,St. John,5,,,,70.52342212106299
72057,2031,Guayama,4,,,,77.24413774144932
72035,2031,Cayey,6,,,,80.92106376107284
72125,2031,San Germán,0,,,,63.865995632381896
72079,2031,Lajas,0,,,,69.15434589536171
72059,2031,Guayanilla,0,,,,68.63783949003445
78030,2032,St. Thomas,5,,,,66.60888191283219
72151,2032,Yabucoa,7,,,,78.92804964320867
72133,2032,Santa Isabel,5,,,,66.94066806102363
72043,2032,Coamo,5,,,,70.69287397730069
72113,2032,Ponce,5,,,,68.98350512887549
78010,2032,St. Croix,6,,,,74.56180602546752
78020,2032,St. John,5,,,,64.253059447281
72057,2032,Guayama,5,,,,69.16972963828741
72035,2032,Cayey,5,,,,74.26569901113436
72125,2032,San Germán,3,,,,60.02399114173229
72079,2032,Lajas,3,,,,64.61813618817668
72059,2032,Guayanilla,3,,,,64.61695873831201
78030,2033,St. Thomas,10,,,,76.7389204370694
72151,2033,Yabucoa,14,,,,91.14362581508367
72133,2033,Santa Isabel,9,,,,77.65415461983268
72043,2033,Coamo,9,,,,80.60430571788878
72113,2033,Ponce,6,,,,77.83849040354332
78010,2033,St. Croix,17,,,,88.2552595964567
78020,2033,St. John,8,,,,73.79111943282481
72057,2033,Guayama,9,,,,81.17500845841536
72035,2033,Cayey,9,,,,85.38487712229332
72125,2033,San Germán,3,,,,67.61662040169784
72079,2033,Lajas,7,,,,73.33543191744587
72059,2033,Guayanilla,3,,,,72.52475047674704
78030,2034,St. Thomas,28,,,,118.58058178518701
72151,2034,Yabucoa,41,,,,147.88977915846456
72133,2034,Santa Isabel,28,,,,128.8240111343504
72043,2034,Coamo,31,,,,133.03674412524606
72113,2034,Ponce,34,,,,133.5403850885827
78010,2034,St. Croix,37,,,,143.3867398960384
78020,2034,St. John,22,,,,113.86830247293308
72057,2034,Guayama,31,,,,132.18044491264766
72035,2034,Cayey,35,,,,139.00129183070868
72125,2034,San Germán,21,,,,115.09366733821359
72079,2034,Lajas,30,,,,128.69536632627953
72059,2034,Guayanilla,28,,,,123.70528574064961
78030,2035,St. Thomas,14,,,,86.47716612327757
72151,2035,Yabucoa,23,,,,106.92493348609744
72133,2035,Santa Isabel,14,,,,92.80773252952757
72043,2035,Coamo,16,,,,97.73922897699312
72113,2035,Ponce,15,,,,96.0183547613189
78010,2035,St. Croix,18,,,,95.58084322711615
78020,2035,St. John,12,,,,82.67058124692421
72057,2035,Guayama,14,,,,95.13900636687993
72035,2035,Cayey,19,,,,101.70014148622047
72125,2035,San Germán,10,,,,85.90446412093996
72079,2035,Lajas,14,,,,91.78889717642717
72059,2035,Guayanilla,13,,,,91.12630528727856
78030,2036,St. Thomas,23,,,,87.99249123400591
72151,2036,Yabucoa,33,,,,108.49636288139764
72133,2036,Santa Isabel,24,,,,91.96269838828741
72043,2036,Coamo,27,,,,98.43952809731792
72113,2036,Ponce,27,,,,97.07144669660434
78010,2036,St. Croix,23,,,,94.25419844980316
78020,2036,St. John,18,,,,83.34146815022146
72057,2036,Guayama,24,,,,94.20291930671752
72035,2036,Cayey,30,,,,102.46157188115158
72125,2036,San Germán,19,,,,86.40798013041339
72079,2036,Lajas,25,,,,93.33428810900591
72059,2036,Guayanilla,20,,,,92.2163451187254
78030,2037,St. Thomas,10,,,,63.621537816806104
72151,2037,Yabucoa,17,,,,78.49118690791093
72133,2037,Santa Isabel,11,,,,68.76163993294784
72043,2037,Coamo,11,,,,72.22404419906496
72113,2037,Ponce,10,,,,70.54587056317668
78010,2037,St. Croix,9,,,,70.75674943097934
78020,2037,St. John,8,,,,61.09893077940453
72057,2037,Guayama,12,,,,70.30669445127953
72035,2037,Cayey,12,,,,75.07280965489666
72125,2037,San Germán,7,,,,63.25193390132874
72079,2037,Lajas,9,,,,68.02342212106299
72059,2037,Guayanilla,9,,,,67.01115645761566
78030,2038,St. Thomas,4,,,,55.869188684178155
72151,2038,Yabucoa,7,,,,67.65877791277067
72133,2038,Santa Isabel,2,,,,58.105526421013785
72043,2038,Coamo,3,,,,62.44161771038386
72113,2038,Ponce,2,,,,61.08087975209154
78010,2038,St. Croix,8,,,,59.047332523375985
78020,2038,St. John,4,,,,53.89889694574311
72057,2038,Guayama,5,,,,59.19184647207185
72035,2038,Cayey,6,,,,64.64328555610237
72125,2038,San Germán,1,,,,55.19827775129183
72079,2038,Lajas,2,,,,57.77520607775591
72059,2038,Guayanilla,1,,,,58.59721506674459
78030,2039,St. Thomas,3,,,,66.8961364265502
72151,2039,Yabucoa,11,,,,83.32969365157481
72133,2039,Santa Isabel,4,,,,74.32368721548967
72043,2039,Coamo,5,,,,77.29697880782481
72113,2039,Ponce,6,,,,77.47824841596949
78010,2039,St. Croix,10,,,,77.11057647945374
78020,2039,St. John,3,,,,63.80822850024607
72057,2039,Guayama,5,,,,75.0404754398376
72035,2039,Cayey,6,,,,79.76487527682087
72125,2039,San Germán,3,,,,69.05396468996064
72079,2039,Lajas,5,,,,75.29998539000985
72059,2039,Guayanilla,4,,,,73.19024514025591
78030,2040,St. Thomas,23,,,,90.28226116510827
72151,2040,Yabucoa,25,,,,112.11033618356299
72133,2040,Santa Isabel,18,,,,98.16165954109252
72043,2040,Coamo,20,,,,102.25690706508367
72113,2040,Ponce,20,,,,100.64883735236221
